	CID	CanonicalSMILES	IUPACName	Fingerprint2D	Title
0	689222	CC1=CC(=O)N(C1=O)C2=CC=CC=C2	3-methyl-1-phenylpyrrole-2,5-dione	"AAADccByMAAAAAAAAAAAAAAAAAAAAQAAAAAwAAAAAAAAAAABAAAAHgAAAAAADAiBkAAywIMAAACI
AiVSUACCAAAhAgAIiAEAZMgIICLAkZGEIAhghCDIyYcQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	2-Methyl-N-phenylmaleimide
0	10953851	CC(=C[N+](=O)[O-])C1=CC=CC=C1	[(E)-1-nitroprop-1-en-2-yl]benzene	"AAADccByMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHAAEAAAADADBGAQyAIAQQACB
AiBGQwACAAAgAAAIiAAAAIgIICKAERCAIAAggAAIiAcAgIAOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	[(1e)-1-Nitroprop-1-En-2-Yl]benzene
0	1549520	CC(=CC1=CC=CC=C1)[N+](=O)[O-]	[(E)-2-nitroprop-1-enyl]benzene	"AAADccByMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHAAEAAAADAiBGAAyAIAQQACB
AiRCQwACAAAgAgAoiAAAAIgIICKAERCAIAAggAAIiAcAgAAOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	1-Phenyl-2-nitropropene
0	637760	C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2	(E)-1,3-diphenylprop-2-en-1-one	"AAADccBwIAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAAABQAAAGgAAAAAADASAmAAwAIAAAACI
AqBSAAACAAAkAAAIiAEAAMgIIDKAFRCAIQAggAAIiYcIiICOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Chalcone
0	5280500	C(C(=O)C=CC(=O)O)C(=O)O	(Z)-4-oxohex-2-enedioic acid	"AAADcYBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACASAgAAACAAAAgCI
AKDSCAAAAAAgAAAICAEAAEgABBQIAAAAUAAEoAAIEYIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	4-Oxohex-2-enedioate
0	9776838	C(C(=O)C=C(C(=O)O)Cl)C(=O)O	(E)-2-chloro-4-oxohex-2-enedioic acid	"AAADcYBgOAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgIACAAACAaAgAAACAAAAgCI
AKDSCAAAAAAgAAAACAEAAUhABBQIAAAAUAAEoAAIEYIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	(E)-2-Chloro-4-oxo-2-hexenedioic acid
1	9543161	C(C(=O)C=C(C(=O)[O-])Cl)C(=O)[O-]	(E)-2-chloro-4-oxohex-2-enedioate	"AAADcQBgOAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgIAAAAACAaAgAAACAAAAACI
AKDSCAAAAAAgAAAACAEAAUhABBQIAAAAEAAEoAAIAYIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	2-Chloromaleylacetate
0	5280500	C(C(=O)C=CC(=O)O)C(=O)O	(Z)-4-oxohex-2-enedioic acid	"AAADcYBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACASAgAAACAAAAgCI
AKDSCAAAAAAgAAAICAEAAEgABBQIAAAAUAAEoAAIEYIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	4-Oxohex-2-enedioate
1	9543165	C(C(=O)C=CC(=O)[O-])C(=O)[O-]	(Z)-4-oxohex-2-enedioate	"AAADcYBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAAAAAACASAgAAACAAAAACI
AKDSCAAAAAAgAAAICAEAAEgABBQIAAAAEAAEoAAIAYIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Maleylacetate
0	30123	CCC1=C(C2=NC1=CC3=C(C4=C(C(C(=C5C(=C(C(=CC6=NC(=C2)C(=C6C)C=C)[N-]5)C)CCC(=O)O)C4=N3)C(=O)OC)[O-])C)C.[Mg+2]	magnesium;22-(2-carboxyethyl)-16-ethenyl-11-ethyl-3-methoxycarbonyl-12,17,21,26-tetramethyl-7,24,25-triaza-23-azanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,4,6,8(26),9,11,13(25),14,16,18(24),19,21-dodecaen-4-olate	"AAADcfB/uAAAACAAAAAAAAAAAAAAAQIECBAAAAAAAAAAAAAAAAAAHgAACAAADQyBgAICCAIABgCo
AyTyTACAAAAgIgAICAEwABgIABYAgAAEQAAF4ACIgAOY2WKMAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Protochlorophyllide a
0	439833	CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5C(=C(C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)C(C4=O)C(=O)OC)C)C.[Mg+2]	magnesium;3-[(3R)-16-ethenyl-11-ethyl-3-methoxycarbonyl-12,17,21,26-tetramethyl-4-oxo-23,25-diaza-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,5,8(26),9,11,13(25),14,16,18,20(23),21-undecaen-22-yl]propanoic acid	"AAADcfB/uAAAACAAAAAAAAAAAAAAAeIECBAAAAAAAAAWAACBgAAAHgAACAAADQyBngICiJIIFgCo
A6TyTACCgCAlAiAImCEwRNgIIH7IlJGEQYhk4ADIyUe82fOegAAAAAAAAAAAAAAAAAAAASAAAQAA
AA=="	Protochlorophyllide
1	49867514	CCC1=C(C2=[NH+]C1=CC3=C(C4=C([N-]3)C(=C5C(=C(C(=[NH+]5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)O)C(C4=O)C(=O)OC)C)C.[Mg+2]	magnesium;3-[(3R)-16-ethenyl-11-ethyl-3-methoxycarbonyl-12,17,21,26-tetramethyl-4-oxo-23,25-diazonia-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,5,8(26),9,11,13(25),14,16,18,20(23),21-undecaen-22-yl]propanoic acid	"AAADcfB/uAAAACAAAAAAAAAAAAAAAeIECBAgQIEAAAAWAECBgAAAHgAQCAAADQyBngICiJLIFgCo
A6TyTACCgCAlAiAImCEwRNgIIH7IlJGEQYhk4ADIyUe82fOegAAAAAAAAAAAAAAAAAAAASAAAQAA
AA=="	magnesium;3-[(3R)-16-ethenyl-11-ethyl-3-methoxycarbonyl-12,17,21,26-tetramethyl-4-oxo-23,25-diazonia-7,24-diazanidahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-1,5,8(26),9,11,13(25),14,16,18,20(23),21-undecaen-22-yl]propanoic acid
0	53481013	CCC=CCC=CCC=CCC=CCC=CCC=CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	S-[2-[3-[[4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (2E,4E,7Z,10Z,13Z,16Z,19Z)-docosa-2,4,7,10,13,16,19-heptaenethioate	"AAADcfB/vgNAAAAAAAAAAAAAAAAAAWJAAAAsAAAAAAAAAFgB+AAAHgQQCCAADhzl1waH8L/MFxio
QSdzdIKAgC0xELAJWKFoVFiLWBpAyUAeRAgPFgL7gaLyMAIJAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	2,4,7,10,13,16,19-Docosaheptaenoyl-CoA
