	CID	CanonicalSMILES	IUPACName	Fingerprint2D	Title
0	4125253	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O)O)O)O	2,3,4,5-tetrahydroxy-6-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxyhexanal	"AAADcfB4PgAAAAAAAAAAAAAAAAAAAAAAAAAkSAAAAAAAAAAAAAAAGgAACAAACBSwgAMACAAABgAI
AAgQgAIAAAAAAAAAAAFAAAAREBYAAAAiQAAFIAAHAAHKbAxAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Dextran
0	102416773	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3C(C(OC(C3O)OCC4C(C(C(C(O4)OCC5C(C(C(C(O5)OCC6C(C(C(C(O6)O)O)O)O)O)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)OC9C(C(C(C(O9)COC1C(C(C(C(O1)CO)O)OC1C(C(C(C(O1)COC1C(C(C(C(O1)CO)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)CO)O)O)O)O)O)O)O)O	(2S,3R,4S,5S,6R)-6-[[(2S,3R,4S,5R,6R)-4-[(2R,3R,4S,5S,6R)-6-[[(2S,3R,4S,5R,6R)-4-[(2S,3R,4S,5S,6R)-6-[[(2S,3R,4S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-6-[[(2S,3R,4S,5S,6R)-6-[[(2S,3R,4S,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxymethyl]-3,5-dihydroxyoxan-2-yl]oxymethyl]oxane-2,3,4,5-tetrol	"AAADcfB8PgAAAAAAAAAAAAAAAAAAAAAAAAAkSJEiQAAAAAAAAAAAGgAACAAACBSwgAMACAAABgAA
AAAAAAAAAAAAAAAAAAAAAAAREAIAAAAiQAAFAAAHAAHAYAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Alternan
0	16216990	CC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)O)O)O)CO)O)O)O)O)O	(2S,3S,4R,5S,6S)-2-[(3R,4R,5R,6R)-2,3-dihydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-4-yl]oxy-6-methyloxane-3,4,5-triol	"AAADcfB4PAAAAAAAAAAAAAAAAAAAAAAAAAAkSJAAAAAAAAAAAAAAGgAACAAACBSwgAMCCAAABgAA
AAAAAAAAAAAAAAAAAAAAAAAREAIAAAAiQAAFAAAHAAHAYAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	3-Fucosyllactose
0	44472832	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])OC2C(C(C(C(O2)CO)O)O)O	(2R,3S,4S,5S,6R)-2-(2,4-dinitrophenoxy)-6-(hydroxymethyl)oxane-3,4,5-triol	"AAADccBzPAAAAAAAAAAAAAAAAAAAAAAAAAA0QAAAAAAAAAABAAAAHgAECAAACByxkAMwzoAQRgCB
ACRCQwCCCAAgIgAoiAAHbIofNiKE8dujeCDlwFEP6AfwYAwAAEAAAAQAEAAAgAAACAAgAAAAAAAA
AA=="	2,4-Dinitrophenyl alpha-D-mannopyranoside
0	14607364	C(C1C(C(C(C(O1)F)F)O)O)O	(2R,3S,4S,5R,6S)-5,6-difluoro-2-(hydroxymethyl)oxane-3,4-diol	"AAADccBgOYAAAAAAAAAAAAAAAAAAAAAAAAAkAAAAAAAAAAAAAAAAGwAACAAACBSggAIAAAAABgAA
AAAAAAAAAAAAAAAAAAAAAAABEAIAAAACQAAFAAADAAHAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	2-Deoxy-2-fluoro-alpha-D-mannosyl fluoride
1	131704200	C(C1C(C(C(C(O1)F)F)O)O)O	(2R,3S,4S,5S)-5,6-difluoro-2-(hydroxymethyl)oxane-3,4-diol	"AAADccBgOYAAAAAAAAAAAAAAAAAAAAAAAAAkAAAAAAAAAAAAAAAAGwAACAAACBSggAIAAAAABgAA
AAAAAAAAAAAAAAAAAAAAAAABEAIAAAACQAAFAAADAAHAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	(2R,3S,4S,5S)-5,6-difluoro-2-(hydroxymethyl)oxane-3,4-diol
0	131704225	C(C1(C(C(C(C(O1)F)O)O)O)F)O	(2R,3S,4R,5S)-2,6-difluoro-2-(hydroxymethyl)oxane-3,4,5-triol	"AAADccBgOYAAAAAAAAAAAAAAAAAAAAAAAAAkAAAAAAAAAAAAAAAAGwAACAAACBSggAIAAAAABgAA
AAAAAAAAAAAAAAAAAAAAAAABEAIAAAACQAAFAAADAAHAYAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	(2R,3S,4R,5S)-2,6-difluoro-2-(hydroxymethyl)oxane-3,4,5-triol
1	17754007	C(C1(C(C(C(C(O1)F)O)O)O)F)O	(2R,3S,4R,5S,6R)-2,6-difluoro-2-(hydroxymethyl)oxane-3,4,5-triol	"AAADccBgOYAAAAAAAAAAAAAAAAAAAAAAAAAkAAAAAAAAAAAAAAAAGwAACAAACBSggAIAAAAABgAA
AAAAAAAAAAAAAAAAAAAAAAABEAIAAAACQAAFAAADAAHAYAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	5-Fluoro-beta-L-gulosyl fluoride
2	46936552	C(C1(C(C(C(C(O1)F)O)O)O)F)O	(2S,3R,4S,5S,6R)-2,6-difluoro-2-(hydroxymethyl)oxane-3,4,5-triol	"AAADccBgOYAAAAAAAAAAAAAAAAAAAAAAAAAkAAAAAAAAAAAAAAAAGwAACAAACBSggAIAAAAABgAA
AAAAAAAAAAAAAAAAAAAAAAABEAIAAAACQAAFAAADAAHAYAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	(2S,3R,4S,5S,6R)-2,6-difluoro-2-(hydroxymethyl)oxane-3,4,5-triol
0	119835	CC1=CC(=O)OC2=C1C=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O	4-methyl-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	"AAADceB4PAAAAAAAAAAAAAAAAAAAAAAAAAA0QIAAAAAAAACBAAAAGgAACAAADBSwmAMyDoAABgCI
AiDSCAACCAAgIAAIiAAGCMgdNyKEMRqieiClwBUPqQfA4KwOIAAACAAIAABAAAAQABAAAAAAAAAA
AA=="	7-(alpha-D-Galactopyranosyloxy)-4-methyl-2H-1-benzopyran-2-one
