	CID	CanonicalSMILES	IUPACName	Fingerprint2D	Title
0	166760	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)NC=O)C(=O)N	[(2R,3S,4R,5R)-5-(4-carbamoyl-5-formamidoimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate	"AAADccBzvAIAAAAAAAAAAAAAAAAAAWJAAAAAAAAAAAAAAAABgAAAHgAQCCAACBzhlgYFsBfMFxCo
QQdx9ICAgC0XEKABUIGoVECDWApAyCAeQIAPBQLTAGDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Faicar
0	439233	C(CC(=O)O)C(C(=O)O)N=CN	(2S)-2-(aminomethylideneamino)pentanedioic acid	"AAADccBjOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACCjBgAQBCAJAAgAo
AACRLAAAAAEAAAAAAIGAAAACABIAgAAAQAAEAAAAAACsJgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Formiminoglutamic acid
0	439233	C(CC(=O)O)C(C(=O)O)N=CN	(2S)-2-(aminomethylideneamino)pentanedioic acid	"AAADccBjOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACCjBgAQBCAJAAgAo
AACRLAAAAAEAAAAAAIGAAAACABIAgAAAQAAEAAAAAACsJgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Formiminoglutamic acid
0	7000050	CC(CO)(C(=O)O)N	(2S)-2-amino-3-hydroxy-2-methylpropanoic acid	"AAADccBiMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAADIihgAICCABAAgAI
AACQCAAAAAAAAAAAAAGAAAACEAQAAAAAQAABMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	2-Methyl-L-serine
0	13945	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	[(2R,3S,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate	"AAADccBzOAIAAAAAAAAAAAAAAAAAASAAAAAgAAAAAAAAAAAAAAAAHgAQCCAACBThgAYBAANABxCo
QCJmdICAAAEAAgAIAAAYABCBEAIAgAAOQAAHFgIDAACwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	2'-Deoxycytidine-5'-monophosphate
0	439232	CC(=O)NC(CCCN)C(=O)O	(2S)-2-acetamido-5-aminopentanoic acid	"AAADccBjMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACCjBgAQCCALAAgAI
AAGQGAAAAAAAAAAAAIGIAAACABIAgCAEQAAEFgCQAACYEQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	N-acetylornithine
1	6992102	CC(=O)NC(CCC[NH3+])C(=O)[O-]	(2S)-2-acetamido-5-azaniumylpentanoate	"AAADccBjMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQAAAACCjBgAQCCALAAAAI
AAGQGAAAAAAAAAAAAIGIAAACABIAgCAEAAAEFgCQAACYEQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Acetylornithine
0	278	C(=O)(N)OP(=O)(O)O	phosphono carbamate	"AAADcYACOAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABgAQCCAAAAAAAAAACABAARAI
QAAAGIAAAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Carbamoyl phosphate
0	1045	C(CCN)CN	butane-1,4-diamine	"AAADccBjAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHAAQAAAACADBAAQAAABAAAAA
AAAAAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	1,4-Diaminobutane
0	439202	C(CON=C(N)N)C(C(=O)O)N	(2S)-2-amino-4-(diaminomethylideneamino)oxybutanoic acid	"AAADccBjsAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAUCAAACCjhgAYBCABQAgAo
AACQKAAAAAAAAAAAAIGAAAACABAAAAAAQAAGEAAAAABCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	L-canavanine
