	CID	CanonicalSMILES	IUPACName	Fingerprint2D	Title
0	8794	C1=CC=C(C=C1)CC#N	2-phenylacetonitrile	"AAADcYByAAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHAAAAAAADACBGAAwAIAAAACQ
BiBCAAACAAAgAAAIiAAAAIgIoCKAERCAIAAggAAIiA8AgIAOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Phenylacetonitrile
0	5371769	C1=CC=C2C(=C1)C(=CN2)CC=NO	(NE)-N-[2-(1H-indol-3-yl)ethylidene]hydroxylamine	"AAADccBzIAAAAAAAAAAAAAAAAAAAAWAAAAAwAAAAAAAAAFgB8AAAHAAUCAAADAjBHgQ8wPLZkACg
AzRnRACCgCAxAiAI2aA4ZJgIIOLAkZGEIAhgkADIyAcQgMAOgAAAAAACAAAAAAAAAAQAAAAAAAAA
AA=="	(E)-indol-3-ylacetaldoxime
0	5460411	C1=CC(=CC=C1CC=NO)O	4-[(2E)-2-hydroxyiminoethyl]phenol	"AAADccByMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAECAAADATBmAQwBoAQAgCg
AjBjAAACAAAgIAAIiAA2CIgIJiKCERKAcAAkwBEImAeAwIAOIAAAAAAAAABAAAAAAAAAAAAAAAAA
AA=="	4-Hydroxyphenylacetaldoxime
0	5460411	C1=CC(=CC=C1CC=NO)O	4-[(2E)-2-hydroxyiminoethyl]phenol	"AAADccByMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAECAAADATBmAQwBoAQAgCg
AjBjAAACAAAgIAAIiAA2CIgIJiKCERKAcAAkwBEImAeAwIAOIAAAAAAAAABAAAAAAAAAAAAAAAAA
AA=="	4-Hydroxyphenylacetaldoxime
0	135402045	CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O	2-amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydro-3H-pteridin-4-one	"AAADccBzsAAAAAAAAAAAAAAAAAAAAAAAAAAgQAAAAAAAAACAAAAAHgAQCAAACDzhgAYDAALAAgCo
AAVQdACAAAEAAAABAICIAECDUAIAiCAUQAAGEQKRAEAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Tetrahydrobiopterin
1	135398654	CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O	(6R)-2-amino-6-[(1R,2S)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one	"AAADccBzsAAAAAAAAAAAAAAAAAAAAAAAAAAgQAAAAAAAAACAAAAAHgAQCAAACDzhgAYDAALAAgCo
AAVQdACAAAEAAAABAICIAECDUAIAiCAUQAAGEQKRAEAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Sapropterin
2	136153088	CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O	2-amino-6-[(1S,2R)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydro-3H-pteridin-4-one	"AAADccBzsAAAAAAAAAAAAAAAAAAAAAAAAAAgQAAAAAAAAACAAAAAHgAQCAAACDzhgAYDAALAAgCo
AAVQdACAAAEAAAABAICIAECDUAIAiCAUQAAGEQKRAEAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	2-Amino-6-[(1S,2R)-1,2-dihydroxypropyl]-5,6,7,8-tetrahydropteridine-4(1H)-one
0	123895	C(CC(C(=O)O)N)CN=C(N)NO	(2S)-2-amino-5-[[amino-(hydroxyamino)methylidene]amino]pentanoic acid	"AAADccBjsAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAUCAAACCjBgAQBCAJQAgAo
AACQLAAAAAEAAAAAAIGAAAACABIAgAAAQAAEEAAAAACYEQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	N-omega-Hydroxy-L-arginine
0	79034	C(CCCCCC(=O)O)CCCCCO	12-hydroxydodecanoic acid	"AAADceBwMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACACggAIACAAAAgAI
AACQCAAAAAAAAAAAAAEAAAAAEBIAAAAAQAAEAAAAAAGIyKCAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	12-Hydroxydodecanoic acid
0	79034	C(CCCCCC(=O)O)CCCCCO	12-hydroxydodecanoic acid	"AAADceBwMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACACggAIACAAAAgAI
AACQCAAAAAAAAAAAAAEAAAAAEBIAAAAAQAAEAAAAAAGIyKCAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	12-Hydroxydodecanoic acid
