	CID	CanonicalSMILES	IUPACName	Fingerprint2D	Title
0	61300	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Fe+3]	2-hydroxypropane-1,2,3-tricarboxylate;iron(3+)	"AAADcYBgOAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAADESAgAAACAAAAgAI
AACQCAIAAAAAAAAAAAFAAAABABYAAAAAQAAFIAABAADLJgAKAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Ferric citrate
0	64965	CC1=C(SC(=N1)[N+]2=NC(=NN2C3=CC=CC=C3)C4=CC=CC=C4)C.[Br-]	2-(3,5-diphenyltetrazol-2-ium-2-yl)-4,5-dimethyl-1,3-thiazole;bromide	"AAADceB7gABAEAAAAAAAAAAAAAAAAWLAAAAwYAAAAAAAAAAB9AAAHAQIAAAADAiBXwAz0ZYIEAim
AyZiZACS9KthCjgcmDQwZJiIIKLgkZGEIABgiAJIyCcQgAAOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Thiazolyl blue
0	622906	C1=CC(=CC=C1NC2=CC(=C(C(=C2)Cl)O)Cl)O	2,6-dichloro-4-(4-hydroxyanilino)phenol	"AAADccByMAAGAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAAABQAAAHgIQCAAACA6BkCAwxoLAAgCA
ACRCQACCAAAhJ0AIiAAGb4gIJmLDk5OEcAhk0BHI2AewQAAAAEAAAAKACAAAgAAABQAQAAAAAAAA
AA=="	2,6-Bis(Chloranyl)-4-[(4-Hydroxyphenyl)amino]phenol
1	22955880	C1=CC(=CC=C1NC2=CC(=C(C(=C2)Cl)[O-])Cl)O	2,6-dichloro-4-(4-hydroxyanilino)phenolate	"AAADccByMAAGAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAAABQAAAHgIQCAAACA6BkCAwxoLAAgCA
ACRCQACCAAAhJ0AIiAAGb4gIJmLDk5OEcAhk0BHI2AewQAAAAEAAAAKACAAAgAAABQAQAAAAAAAA
AA=="	2,6-Dichloro-4-[(4-hydroxyphenyl)amino]phenol
0	6326	C#C	acetylene	"AAADcQBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAAAAAAAAACAAAAAAAAAAABA
CAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Acetylene
0	947	N#N	molecular nitrogen	"AAADcQADAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAA
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Nitrogen
0	9321	NN	hydrazine	"AAADcYADAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAYAAAAAAAAAAAAAAACAAAA
AAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Hydrazine
0	9864	C(#N)N	cyanamide	"AAADcQADAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAQAAAAAAAAAAABAABAAAAQ
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Cyanamide
0	11646	C[N+]#[C-]	isocyanomethane	"AAADcQBCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAFAAAAAAAAAAAAAQCAAIAAAAQ
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Methyl isocyanide
0	14273	C1=CC=NC(=C1)C=O	pyridine-2-carbaldehyde	"AAADcYBiIAAAAAAAAAAAAAAAAAAAAAAAAAAsAAAAAAAAAAABgAAAHgAAAAAACAjhlgY8gJIIEACo
ATx3xACCgCA3AiAI2CG4ZNgIIPLAlbGEIQhggADIyYcYCAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	2-Pyridinecarboxaldehyde
0	2513	C[As](=O)(C)O	dimethylarsinic acid	"AAADcYBAMAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAEACAAAAAAAAAACAAAAAAAA
AAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Cacodylic acid
1	167250	C[As](=O)(C)[O-]	dimethylarsinate	"AAADcYBAMAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAEAAAAAAAAAAAACAAAAAAAA
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Dimethylarsinate
