	CID	CanonicalSMILES	IUPACName	Fingerprint2D	Title
1	71307241	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)CO)OC5C(C(C(C(O5)CO)OC6C(C(C(C(O6)CO)O)O)O)O)O)O)O)O)O)O)O	(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6S)-6-[(2R,4R,5R,6S)-6-[(2R,3S,4R,5R,6S)-6-[(2R,3S,4R,5R,6S)-4,5-dihydroxy-2-(hydroxymethyl)-6-(4-nitrophenoxy)oxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	"AAADcfB+PgAAAAAAAAAAAAAAAAAAAAAAAAA0SJEiQAAAAAABAAAAHgAECAAACByxkAMwzoAQRgCB
ACRCQwCCCAAgIgAoiAAGbIodNiKEsZuieCDlwBEP6AfwYAwAAEAAAAAAAAAAgAAAAAAAAAAAAAAA
AA=="	4-Nitrophenyl b-D-cellopentaoside
0	45051760	C1=CC(=C(C=C1[N+](=O)[O-])Cl)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)O	(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6S)-6-(2-chloro-4-nitrophenoxy)-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	"AAADceB6PAAEAAAAAAAAAAAAAAAAAAAAAAA0SIAAAAAAAAABAAAAHgIECAAACB6xkCMwzoAQRgCB
ACRCQwCCCAAgJ0AoiAAGb4odNiOFs5uieCDlwBEP6AfwYAwAAEAAAAIACAAAgAAABAAQAAAAAAAA
AA=="	2-Chloro-4-nitrophenyl-beta-D-cellobioside
0	6452837	C1C(C(C(C(O1)OCC(C(C(C(C=O)O)O)O)O)O)O)O	(2R,3S,4R,5R)-2,3,4,5-tetrahydroxy-6-[(2R,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyhexanal	"AAADceBwPAAAAAAAAAAAAAAAAAAAAAAAAAAkAAAAAAAAAAAAAAAAGgAACAAACBSwgAMACAAABgAI
AAgQgAIAAAAAAAAAAAFAAAAREBYAAAAiQAAFIAAHAAHKbAxAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Isoprimeverose
0	82482	C1C(C(C(C(O1)OC2=CC=C(C=C2)[N+](=O)[O-])O)O)O	(2R,3R,4S,5R)-2-(4-nitrophenoxy)oxane-3,4,5-triol	"AAADccByOAAAAAAAAAAAAAAAAAAAAAAAAAA0QAAAAAAAAAABAAAAHgAECAAACByxkAMwzoAQRgCB
ACRCQwCCCAAgIgAoiAAGbIodNiKEsZuieCDlwBEP6AfwYAgAAEAAAAAAAAAAgAAAAAAAAAAAAAAA
AA=="	p-Nitrophenyl alpha-D-xylopyranoside
0	65309	CC(=O)NC1C(C=C(OC1C(C(CO)O)O)C(=O)O)O	(2R,3R,4S)-3-acetamido-4-hydroxy-2-[(1R,2R)-1,2,3-trihydroxypropyl]-3,4-dihydro-2H-pyran-6-carboxylic acid	"AAADceByPAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAAAAAAAAAHgAQCAAACDzhgAYCCALABgCI
ACHSGAIACAAgIAAACIBIAEgDFAIAgAQHUAAHlgCbEYPw8CcAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	2-Deoxy-2,3-dehydro-n-acetyl-neuraminic acid
0	122202	CC1=CC(=O)OC2=C1C=CC(=C2)OC3(CC(C(C(O3)C(C(CO)O)O)NC(=O)C)O)C(=O)O	(2S,4S,5R,6R)-5-acetamido-4-hydroxy-2-(4-methyl-2-oxochromen-7-yl)oxy-6-[(2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid	"AAADceB6PAAAAAAAAAAAAAAAAAAAAAAAAAA0QIAAAAAAAACBAAAAHgAQCAAADDzhmAYyDoLABgCI
AiHSGAICCAAgIAAIiIFOCMgfNzKEsR6neiCn1hWfqQf6+a+eIAAACAAIAABAAAAQABAAAAAAAAAA
AA=="	(2s,4s,5r,6r)-5-Acetamido-4-hydroxy-2-(4-methyl-2-oxo-chromen-7-yl)oxy-6-[(2r)-1,2,3-trihydroxypropyl]tetrahydropyran-2-carboxylic acid
0	123914	CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OC2C(C(OC(C2O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O	(2S,4S,5R,6R)-5-acetamido-2-[(2R,3S,4S,5R,6S)-3,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3R,4R,5R)-1,2,4,5-tetrahydroxy-6-oxohexan-3-yl]oxyoxan-4-yl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid	"AAADcfB6PgAAAAAAAAAAAAAAAAAAAAAAAAAkSAAAAAAAAAAAAAAAHgAQCAAACDzxgAcCCALABgAI
AAmQmAIAAAAAAAAAAIFIAAATEBYAgAQnQAAHNgCXAAH6/a/QAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	3'-Sialyllactose
0	643987	CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OCC2C(C(C(C(O2)OC(C(CO)O)C(C(C=O)O)O)O)O)O)O	(2R,4S,5R,6R)-5-acetamido-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]-2-[[(2R,3R,4S,5R,6S)-3,4,5-trihydroxy-6-[(2R,3R,4R,5R)-1,2,4,5-tetrahydroxy-6-oxohexan-3-yl]oxyoxan-2-yl]methoxy]oxane-2-carboxylic acid	"AAADcfB6PgAAAAAAAAAAAAAAAAAAAAAAAAAkSAAAAAAAAAAAAAAAHgAQCAAACDzxgAcCCALABgAI
AAmQmAIAAAAAAAAAAIFIAAATEBYAgAQnQAAHNgCXAAH6/a/QAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	6'-Sialyllactose
0	86583360	CCCCCCCCCCCCCC=CC(C(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)OC3(CC(C(C(O3)C(C(CO)O)O)NC(=O)C)O)C(=O)O)O)O)O)NC(=O)CCCCCCCCCCCCCC=CCCCCCCCC)O	(2S,4S,5R,6R)-5-acetamido-2-[(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-[(E,2S,3R)-3-hydroxy-2-[[(Z)-tetracos-15-enoyl]amino]octadec-4-enoxy]oxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid	"AAADcfB/PgAAAAAAAAAAAAAAAAAAAAAAAAAkSJAAAAAAAAAAAAAAHgAQCAAACDzxgAcCCALABgCI
ACHSGAIAAAAgAAAICIFIAAgTFBIAgQQnUAAHlgCfEAP6+a+QAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	G(M3) Ganglioside
0	165125	C1=CC(=CC=C1[N+](=O)[O-])OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)O	(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6S)-4,5-dihydroxy-2-(hydroxymethyl)-6-(4-nitrophenoxy)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	"AAADceB6PAAAAAAAAAAAAAAAAAAAAAAAAAA0SIAAAAAAAAABAAAAHgAECAAACByxkAMwzoAQRgCB
ACRCQwCCCAAgIgAoiAAGbIodNiKEsZuieCDlwBEP6AfwYAwAAEAAAAAAAAAAgAAAAAAAAAAAAAAA
AA=="	4-Nitrophenyl beta-D-cellobioside
